"scenario","replicate","time_point","method","estimate","se","ci_lower","ci_upper","truth","bias","covers","runtime"
"switching",1,180,"AIPW",-2.87450870739558e-06,0.000320512034121755,-0.000631078095586036,0.000625329078171244,0.0049790785198345,-0.00498195302854189,0,0.0400000000008731
"switching",1,180,"IPTW",0.0280868279067799,0.00675696869051084,0.0148431692733786,0.0413304865401811,0.0049790785198345,0.0231077493869454,0,0.0200000000004366
"switching",1,180,"G-computation",8.01929615941444e-09,0,8.01929615941444e-09,8.01929615941444e-09,0.0049790785198345,-0.00497907050053834,0,5.07999999999811
"switching",1,180,"Cox PH",0,NA,NA,NA,0.0049790785198345,-0.0049790785198345,NA,1.43999999999869
"switching",2,90,"TMLE",0.00718698223765237,0.0039570656877369,-0.000568866510311956,0.0149428309856167,0.00359989714579583,0.00358708509185653,1,0.0599999999976717
"switching",2,90,"TMLE-CF",0.0184899283886433,0.0252542254994864,-0.0310083535903501,0.0679882103676366,0.00359989714579583,0.0148900312428474,1,0.25
"switching",2,90,"AIPW",0.0001248293626395,0.000197900934845462,-0.000263056469657606,0.000512715194936606,0.00359989714579583,-0.00347506778315634,0,0.0300000000024738
"switching",2,90,"IPTW",0.0184556764034951,0.00240176100129869,0.0137482248409497,0.0231631279660405,0.00359989714579583,0.0148557792576993,0,0
"switching",2,90,"G-computation",7.98896939531099e-08,1.94119424028739e-26,7.98896939531099e-08,7.98896939531099e-08,0.00359989714579583,-0.00359981725610188,0,5.13999999999942
"switching",2,90,"Cox PH",0,NA,NA,NA,0.00359989714579583,-0.00359989714579583,NA,0.659999999999854
"switching",2,180,"TMLE",-0.00243797137287724,0.00266703764232217,-0.00766536515182869,0.00278942240607421,0.0049790785198345,-0.00741704989271174,0,0.069999999999709
"switching",2,180,"TMLE-CF",0.0095338159073741,2.63150449400646,-5.1482149923453,5.16728262416004,0.0049790785198345,0.0045547373875396,1,0.230000000003201
"switching",2,180,"AIPW",-0.000606884859165437,0.00096630958353947,-0.0025008516429028,0.00128708192457192,0.0049790785198345,-0.00558596337899993,0,0.0499999999992724
